Test Loss: 0.0843	Test accuracy: 0.9711
Test Loss: 0.0903	Test accuracy: 0.9719
Test Loss: 0.0844	Test accuracy: 0.9736
Test Loss: 0.0790	Test accuracy: 0.9742
Test Loss: 0.0891	Test accuracy: 0.9706
Test Loss: 0.0870	Test accuracy: 0.9706
Test Loss: 0.0833	Test accuracy: 0.9715
Test Loss: 0.0966	Test accuracy: 0.9679
Test Loss: 0.0857	Test accuracy: 0.9721
Test Loss: 0.0810	Test accuracy: 0.9736
