,bound_acc,normal_acc,unbound_acc
0,0.8712871287128713,0.9868,0.9984670413898825
1,0.9108910891089109,0.9866,0.9971384772611139
2,0.9108910891089109,0.9872,0.999182422074604
3,0.8613861386138614,0.987,0.9984670413898825
4,0.9405940594059405,0.9881,0.9994890137966275
5,0.7623762376237624,0.9853,0.997751660705161
6,0.8613861386138614,0.9871,0.9992846193152785
7,0.8613861386138614,0.9867,0.9978538579458355
8,0.8118811881188119,0.9867,0.9992846193152785
9,0.8910891089108911,0.9874,0.999386816555953
10,0.8613861386138614,0.9867,0.9988758303525804
11,0.9207920792079208,0.9875,0.9992846193152785
12,0.8712871287128713,0.9872,0.998160449667859
13,0.9306930693069307,0.9866,0.9986714358712315
14,0.8415841584158416,0.986,0.99795605518651
15,0.8613861386138614,0.9876,0.9990802248339294
16,0.7425742574257426,0.9767,0.9886561062851303
17,1.0,0.9886,1.0
18,0.8217821782178217,0.9817,0.9937659683188554
19,0.7524752475247525,0.9854,0.998569238630557
20,0.9504950495049505,0.9875,0.998364844149208
21,0.9900990099009901,0.9877,0.998569238630557
22,0.9900990099009901,0.9882,0.999591211037302
23,0.9504950495049505,0.9883,0.9996934082779765
24,0.900990099009901,0.9877,0.999591211037302
25,0.9702970297029703,0.9881,0.9996934082779765
26,0.9603960396039604,0.9884,0.9998978027593255
27,0.8118811881188119,0.9872,0.9996934082779765
28,0.7128712871287128,0.9862,0.9998978027593255
29,0.801980198019802,0.9877,0.9992846193152785
30,0.7821782178217822,0.9859,0.99795605518651
31,0.8316831683168316,0.9863,0.9982626469085335
32,0.8811881188118812,0.9826,0.9934593765968319
33,0.9207920792079208,0.988,0.9994890137966275
34,0.9108910891089109,0.9886,0.9992846193152785
35,0.8811881188118812,0.9872,0.999386816555953
36,0.9801980198019802,0.9883,0.999386816555953
37,0.9207920792079208,0.9879,0.9992846193152785
38,0.8811881188118812,0.9863,0.99795605518651
39,0.8514851485148515,0.9856,0.9972406745017884
40,0.8316831683168316,0.9873,1.0
41,0.7722772277227723,0.9839,0.9964230965763924
42,0.8217821782178217,0.9862,0.9967296882984159
43,0.9108910891089109,0.9874,0.998160449667859
44,0.8910891089108911,0.9876,0.9998978027593255
45,0.900990099009901,0.987,0.9990802248339294
46,0.9702970297029703,0.9885,0.999795605518651
47,0.9306930693069307,0.9873,0.998364844149208
48,0.9306930693069307,0.9884,0.9998978027593255
49,0.8415841584158416,0.9867,0.998160449667859
50,0.8712871287128713,0.9867,0.9980582524271845
51,0.9108910891089109,0.9877,0.9994890137966275
52,0.9702970297029703,0.9882,0.999795605518651
53,1.0,0.9886,1.0
54,0.9702970297029703,0.9873,0.998773633111906
55,0.9801980198019802,0.9882,0.9992846193152785
56,0.7821782178217822,0.9854,0.9969340827797649
57,0.9900990099009901,0.9884,0.9998978027593255
58,0.801980198019802,0.9867,0.9990802248339294
59,0.8811881188118812,0.9871,0.9980582524271845
