,bound_acc,normal_acc,unbound_acc
0,0.9243027888446215,0.974,0.9992621482028038
1,0.7211155378486056,0.9475,0.9754400758933277
2,0.8685258964143426,0.9761,0.9992621482028038
3,0.952191235059761,0.9746,0.9996837778012017
4,0.8087649402390438,0.9658,0.9940971856224307
5,0.952191235059761,0.9752,1.0
6,0.7888446215139442,0.968,0.9929377042268367
7,0.900398406374502,0.9728,0.9966269632128175
8,0.896414342629482,0.9701,0.9952566670180246
9,0.8924302788844621,0.9693,0.9957837040160219
10,0.896414342629482,0.97,0.9962053336144198
11,0.9800796812749004,0.9737,0.9989459260040054
12,0.9840637450199203,0.9735,0.9989459260040054
13,1.0,0.9739,1.0
14,0.7171314741035857,0.9679,0.9973648150100137
15,0.8207171314741036,0.973,0.9965215558132181
16,0.7131474103585658,0.9023,0.9274797090755771
17,0.8565737051792829,0.97,0.9960999262148202
18,0.601593625498008,0.9556,0.9892484452408559
19,0.8007968127490039,0.9682,0.9946242226204279
20,0.9681274900398407,0.973,0.9996837778012017
21,0.9243027888446215,0.9735,0.9979972594076104
22,0.8685258964143426,0.9661,0.9895646674396542
23,0.796812749003984,0.9445,0.9712237799093496
24,0.9362549800796812,0.9725,0.9981026668072098
25,0.9960159362549801,0.9738,0.9997891852008011
26,0.6932270916334662,0.9514,0.9816591124696954
27,1.0,0.9738,1.0
28,0.8565737051792829,0.9726,0.9966269632128175
29,0.7768924302788844,0.9564,0.9845051122588806
30,0.9282868525896414,0.9735,0.9994729630020027
31,0.9601593625498008,0.9746,0.9984188890060082
32,0.8844621513944223,0.9696,0.9948350374196269
33,0.7131474103585658,0.9577,0.9874565194476652
34,0.8565737051792829,0.9716,0.9979972594076104
35,0.9880478087649402,0.9733,0.9993675556024033
36,1.0,0.9738,1.0
37,0.8406374501992032,0.9642,0.9912511858332455
38,0.9083665338645418,0.9713,0.9974702224096131
39,0.9402390438247012,0.9747,0.999051333403605
40,0.8446215139442231,0.9607,0.9873511120480658
41,0.7808764940239044,0.9704,0.997891852008011
42,0.8924302788844621,0.9742,0.9974702224096131
43,0.9322709163346613,0.9752,0.9996837778012017
44,0.9800796812749004,0.9744,0.9994729630020027
45,0.8884462151394422,0.9633,0.9894592600400548
46,0.8167330677290837,0.9647,0.9908295562348477
47,0.896414342629482,0.9717,0.9963107410140192
48,0.852589641434263,0.961,0.9868240750500685
49,0.9402390438247012,0.976,0.999051333403605
