,bound_acc,normal_acc,unbound_acc
0,0.8191489361702128,0.9839,0.9965110312981016
1,0.8085106382978723,0.9862,0.9969214982042073
2,0.8191489361702128,0.9853,0.9963057978450487
3,0.8617021276595744,0.9852,0.9962031811185224
4,0.8723404255319149,0.9841,0.9952796305797845
5,0.8297872340425532,0.9827,0.9944586967675731
6,0.8723404255319149,0.985,0.9954848640328373
7,0.9042553191489362,0.9851,0.9952796305797845
8,0.8723404255319149,0.9829,0.9941508465879938
9,0.8723404255319149,0.9858,0.9967162647511545
