,bound_acc,normal_acc,unbound_acc
0,0.8922651933701657,0.9717,0.9941119794454555
1,0.8729281767955801,0.9721,0.9943260892838026
2,0.8784530386740331,0.9685,0.9914356064661172
3,0.8812154696132597,0.9738,0.9952895835563644
4,0.8756906077348067,0.9732,0.9944331442029761
5,0.8121546961325967,0.967,0.9922920458195054
6,0.8591160220994475,0.9689,0.9930414302537202
7,0.8895027624309392,0.9718,0.9929343753345466
8,0.8977900552486188,0.9711,0.9931484851728937
9,0.8646408839779005,0.97,0.9934696499304143
