Test Loss: 0.0311	Test accuracy: 0.9898
Test Loss: 0.0270	Test accuracy: 0.9913
Test Loss: 0.0280	Test accuracy: 0.9907
Test Loss: 0.0278	Test accuracy: 0.9918
Test Loss: 0.0295	Test accuracy: 0.9913
Test Loss: 0.0298	Test accuracy: 0.9912
Test Loss: 0.0330	Test accuracy: 0.9908
Test Loss: 0.0298	Test accuracy: 0.9917
Test Loss: 0.0318	Test accuracy: 0.9895
Test Loss: 0.0309	Test accuracy: 0.9914
