,bound_acc,normal_acc,unbound_acc
0,0.9702970297029703,0.9884,0.999795605518651
1,1.0,0.9886,1.0
2,0.9108910891089109,0.9876,0.999591211037302
3,1.0,0.9886,0.999795605518651
4,0.8811881188118812,0.9876,0.999591211037302
5,0.8712871287128713,0.9863,0.998160449667859
6,0.9900990099009901,0.9885,1.0
7,0.8613861386138614,0.9866,0.9988758303525804
8,0.8613861386138614,0.9872,0.9988758303525804
9,0.9504950495049505,0.9867,0.9982626469085335
10,1.0,0.9886,1.0
11,0.9702970297029703,0.9886,1.0
12,0.9900990099009901,0.9885,1.0
13,0.9603960396039604,0.9879,0.9994890137966275
14,1.0,0.9886,1.0
15,0.9405940594059405,0.9877,0.999386816555953
16,0.7623762376237624,0.9841,0.9965252938170669
17,0.9900990099009901,0.9885,1.0
18,0.9108910891089109,0.987,0.9992846193152785
19,0.8217821782178217,0.9867,0.999182422074604
20,1.0,0.9886,1.0
21,0.9207920792079208,0.9889,0.9998978027593255
22,0.9801980198019802,0.9878,0.9990802248339294
23,0.8514851485148515,0.9864,0.9988758303525804
24,0.9108910891089109,0.9877,0.999591211037302
25,0.9603960396039604,0.9881,0.9984670413898825
26,0.9702970297029703,0.988,0.999591211037302
27,0.9504950495049505,0.9883,0.999591211037302
28,0.9603960396039604,0.988,0.9996934082779765
29,0.8811881188118812,0.9874,0.999591211037302
30,0.9405940594059405,0.9883,0.9994890137966275
31,0.9900990099009901,0.9885,0.9998978027593255
32,0.9801980198019802,0.9884,0.9994890137966275
33,1.0,0.9886,1.0
34,1.0,0.9886,1.0
35,0.8811881188118812,0.9876,0.999591211037302
36,1.0,0.9886,1.0
37,0.9405940594059405,0.9873,0.999182422074604
38,1.0,0.9886,1.0
39,0.9108910891089109,0.988,0.9994890137966275
40,1.0,0.9886,1.0
41,0.9405940594059405,0.9879,0.999182422074604
42,0.900990099009901,0.9873,0.9992846193152785
43,0.9702970297029703,0.9886,0.999795605518651
44,0.9504950495049505,0.9884,1.0
45,0.9801980198019802,0.9883,0.9998978027593255
46,0.9801980198019802,0.9884,0.9994890137966275
47,0.9900990099009901,0.9885,0.9998978027593255
48,0.8910891089108911,0.9878,0.9996934082779765
49,0.9702970297029703,0.9882,0.999591211037302
