,bound_acc,normal_acc,unbound_acc
0,0.9322709163346613,0.9721,0.9986297038052071
1,0.9641434262948207,0.9726,0.9994729630020027
2,0.8764940239043825,0.9671,0.9940971856224307
3,1.0,0.9741,1.0
4,1.0,0.9739,1.0
5,0.8844621513944223,0.9697,0.9974702224096131
6,0.6573705179282868,0.9554,0.9867186676504691
7,0.8764940239043825,0.9671,0.9940971856224307
8,0.8087649402390438,0.9697,0.9979972594076104
9,1.0,0.9738,1.0
10,0.9960159362549801,0.9737,0.9998945926004006
11,0.9641434262948207,0.973,0.9987351112048066
12,1.0,0.9738,1.0
13,0.896414342629482,0.9669,0.993464741224834
14,0.8924302788844621,0.9708,0.9987351112048066
15,0.8804780876494024,0.9749,0.9966269632128175
16,0.8446215139442231,0.9692,0.9940971856224307
17,0.9880478087649402,0.9738,0.9998945926004006
18,1.0,0.9738,1.0
19,0.9920318725099602,0.9736,1.0
20,1.0,0.9738,1.0
21,0.9601593625498008,0.9723,0.9993675556024033
22,1.0,0.9738,1.0
23,0.8764940239043825,0.9671,0.9940971856224307
24,0.9920318725099602,0.9739,1.0
25,0.9123505976095617,0.9678,0.9938863708232318
26,0.9243027888446215,0.9718,0.9984188890060082
27,0.9043824701195219,0.9659,0.9915674080320438
28,1.0,0.9738,1.0
29,0.9482071713147411,0.9715,0.9972594076104142
30,0.9243027888446215,0.9718,0.9984188890060082
31,0.9163346613545816,0.9754,0.9986297038052071
32,0.8804780876494024,0.97,0.9977864446084115
33,0.9840637450199203,0.9757,0.9997891852008011
34,1.0,0.9738,1.0
35,0.8605577689243028,0.9638,0.9907241488352483
36,0.9840637450199203,0.9741,0.999051333403605
37,0.9043824701195219,0.9733,0.9992621482028038
38,0.9482071713147411,0.9715,0.9972594076104142
39,1.0,0.9738,1.0
40,0.9601593625498008,0.9718,0.9972594076104142
41,0.8725099601593626,0.9664,0.9945188152208285
42,1.0,0.9738,1.0
43,0.9920318725099602,0.9736,1.0
44,0.9840637450199203,0.9739,0.9997891852008011
45,1.0,0.9738,1.0
46,0.8884462151394422,0.973,0.9984188890060082
47,0.9920318725099602,0.9737,1.0
48,0.9442231075697212,0.9741,0.9991567408032044
49,1.0,0.9738,1.0
