测试集 score(val_loss): 0.0878	测试集 accuracy: 0.9732
测试集 score(val_loss): 0.0949	测试集 accuracy: 0.9700
测试集 score(val_loss): 0.1008	测试集 accuracy: 0.9663
测试集 score(val_loss): 0.0828	测试集 accuracy: 0.9728
测试集 score(val_loss): 0.0830	测试集 accuracy: 0.9726
测试集 score(val_loss): 0.0987	测试集 accuracy: 0.9690
测试集 score(val_loss): 0.0845	测试集 accuracy: 0.9728
测试集 score(val_loss): 0.0959	测试集 accuracy: 0.9681
测试集 score(val_loss): 0.0858	测试集 accuracy: 0.9736
测试集 score(val_loss): 0.0780	测试集 accuracy: 0.9753
