,bound_acc,normal_acc,unbound_acc
0,0.7131474103585658,0.9626,0.9894592600400548
1,0.5976095617529881,0.9202,0.951723410983451
2,0.6653386454183267,0.9414,0.9722778539053442
3,0.9123505976095617,0.9749,0.9955728892168231
4,0.6055776892430279,0.9592,0.9896700748392537
5,0.8406374501992032,0.9668,0.9943080004216296
6,0.852589641434263,0.9669,0.9909349636344471
7,0.852589641434263,0.9656,0.991145778433646
8,0.6613545816733067,0.8396,0.8607568251291241
9,0.7649402390438247,0.9645,0.9930431116264362
10,0.8764940239043825,0.964,0.9870348898492675
11,0.8127490039840638,0.9553,0.9783914830821123
12,0.852589641434263,0.967,0.9920944450300411
13,0.5657370517928287,0.9442,0.975967112891325
14,0.8884462151394422,0.9736,0.9969431854116159
15,0.7171314741035857,0.9554,0.9814482976704965
16,0.6852589641434262,0.9647,0.9956782966164225
17,0.6294820717131474,0.9435,0.9742805944977337
18,0.5976095617529881,0.9514,0.9820807420680931
19,0.9163346613545816,0.9752,0.997891852008011
20,0.7848605577689243,0.9611,0.9872457046484663
21,0.7768924302788844,0.9672,0.9915674080320438
22,0.7529880478087649,0.9553,0.983661853062085
23,0.6852589641434262,0.9632,0.9886160008432592
24,0.8406374501992032,0.9693,0.993253926425635
25,0.6175298804780877,0.9589,0.9893538526404554
26,0.5737051792828686,0.9562,0.9851375566564773
27,0.8406374501992032,0.9614,0.9849267418572784
28,0.7171314741035857,0.9572,0.9852429640560767
29,0.6374501992031872,0.9586,0.9864024454516707
