,bound_acc,normal_acc,unbound_acc
0,0.8674033149171271,0.974,0.9955036933947115
1,0.8756906077348067,0.9725,0.9938978696071085
2,0.9060773480662984,0.9759,0.9952895835563644
3,0.8922651933701657,0.9747,0.9950754737180173
4,0.8453038674033149,0.9706,0.9927202654961995
5,0.8535911602209945,0.9713,0.9934696499304143
6,0.8674033149171271,0.9744,0.9949684187988438
7,0.8591160220994475,0.9745,0.9957178032330586
8,0.9116022099447514,0.975,0.9951825286371909
9,0.8674033149171271,0.9726,0.9953966384755379
