,bound_acc,normal_acc,unbound_acc
0,0.8191489361702128,0.9842,0.9937403796818881
1,0.8191489361702128,0.9849,0.9957927142124167
2,0.851063829787234,0.9852,0.9947665469471524
3,0.8085106382978723,0.9869,0.9962031811185224
4,0.8085106382978723,0.986,0.9957927142124167
5,0.7340425531914894,0.9841,0.9950743971267316
6,0.8829787234042553,0.9867,0.996613648024628
7,0.8617021276595744,0.986,0.9954848640328373
8,0.8404255319148937,0.9877,0.9972293483837865
9,0.8404255319148937,0.9859,0.9959979476654695
