,bound_acc,normal_acc,unbound_acc
0,0.919889502762431,0.9742,0.9944331442029761
1,0.8950276243093923,0.9736,0.9943260892838026
2,0.8812154696132597,0.9706,0.9944331442029761
3,0.8812154696132597,0.9736,0.9958248581522321
4,0.8784530386740331,0.9721,0.9949684187988438
5,0.8535911602209945,0.9706,0.9944331442029761
6,0.850828729281768,0.9679,0.9922920458195054
7,0.8646408839779005,0.9715,0.9958248581522321
8,0.8839779005524862,0.9719,0.9941119794454555
9,0.861878453038674,0.9711,0.9950754737180173
