,bound_acc,normal_acc,unbound_acc
0,0.851063829787234,0.9852,0.9965110312981016
1,0.8723404255319149,0.9859,0.9967162647511545
2,0.8617021276595744,0.9847,0.9956900974858902
3,0.7659574468085106,0.9826,0.9948691636736788
4,0.8404255319148937,0.9865,0.9968188814776808
5,0.8617021276595744,0.9856,0.9963057978450487
6,0.8829787234042553,0.9858,0.9964084145715751
7,0.7978723404255319,0.9836,0.9968188814776808
8,0.8617021276595744,0.9838,0.9951770138532581
9,0.8723404255319149,0.9851,0.996613648024628
